"family","original_instance_id","subfamily","global_instance_id","canonical_xml_path","fingerprint","collision_scope"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501240","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501240","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501240.xml","SHA256-XML-1:A601DD3FC63D51F24BDBA4C3C24EE6205E5978B30320BFF876A9F707DE56C5F1","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501240","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501240","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501240.xml","SHA256-XML-1:6D74A0BC32973701816030242750669A35904D7106B105450593721CC55E8285","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501320","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501320","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501320.xml","SHA256-XML-1:83C58EDEA65908BB0B2459B6BCDB13EB234CE2177216B39B0FC567E8111D212F","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501320","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501320","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501320.xml","SHA256-XML-1:05112DAFC02A491B4F4CA6D2BBAEE0859D29C0E3734BC3061728793AFE60F026","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501330","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501330","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501330.xml","SHA256-XML-1:B4181A87A8877E3E10379DDCA2B6DCA0F1826EC03BA87078894BD290CE13BEA0","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501330","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501330","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501330.xml","SHA256-XML-1:6E89334C47B373C00C69F79F71CEF2D0FABA2A2408115C1030D881EB8B0EAC51","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501340","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501340","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501340.xml","SHA256-XML-1:EC6A75A5B8C979CE0C7BC0B78DBBD4736CE5BF08AA5D3871ED12AB2F2AACF92B","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501340","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501340","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501340.xml","SHA256-XML-1:F58B70695CECFCC0E93FA07DA8185A000D38703515118C24C9CD919DD84EF9E5","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501420","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501420","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501420.xml","SHA256-XML-1:1F7ABD9E4F1FC3175E0C008DC8378C95C4A429E8428D9D41010B96BF4AAE66A0","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501420","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501420","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501420.xml","SHA256-XML-1:674C658CCFB0B1BF6C2C2DBBA3EAAA604F2FDB5D60D63D13792F4157DC4D5C46","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501430","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501430","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501430.xml","SHA256-XML-1:AB77147972CFBCAEB4FBDA2B56A8AC9CFE42C6437EEA82BE4311F8B9666C6B9E","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501430","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501430","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501430.xml","SHA256-XML-1:690AF736F1822134ADB83BC193D3E2D730E5C03ADEB27C18077BF5C6C89F5CAE","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501440","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501440","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501440.xml","SHA256-XML-1:12745C09221D384D244C20020E50D22B46AC58CDB93B6C017C9E0DDAF465614C","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501440","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501440","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501440.xml","SHA256-XML-1:9FCDFBFC5622F81FA63B1B6387F44F002CA9C28C3339AAC1F875D64ACE41B077","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501520","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501520","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501520.xml","SHA256-XML-1:33B57657EC35E4AF1D4708BFDDC8E26AA45F7549169544242BE33F1A49CF57DA","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501520","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501520","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501520.xml","SHA256-XML-1:6B270A929D6CB29C9EC3E0DE44EC869B4829A788E7B7EBA7A8BA05746774836A","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501530","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501530","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501530.xml","SHA256-XML-1:9B6FB6FBD3F390DFC6E4D1553A05522FBBC37AB566D2E363DA865B87080D7C5F","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501530","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501530","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501530.xml","SHA256-XML-1:56B4E9ACCE2B79DCF4F6906CE5696BFE0356E9B0CAA5CCAA3DF5D06C4987AE18","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501540","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G501540","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501540.xml","SHA256-XML-1:551445D08CA934BF67C0B3417FF245FFE9A745C2952FE2719B006A097BC5C303","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G501540","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G501540","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G501540.xml","SHA256-XML-1:5AD914ED853ADECB7712691B5E3DF90254B5C71EC3329E676AEBC92B0C76AFAA","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502120","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502120","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502120.xml","SHA256-XML-1:2F050883BC8FE9C7D3E3FEE814AF5225ECA5FABBC0844FEFE93D384B441ED8EB","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502120","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502120","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502120.xml","SHA256-XML-1:016DA58D90A89508C3E8CFBA367C25E39829FCFC5C71CCA453316F23F61438A8","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502130","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502130","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502130.xml","SHA256-XML-1:91C95EA866310FAD897E6A70D3CF8060B9373DAC8F1F560E3D8561275CB7A67A","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502130","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502130","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502130.xml","SHA256-XML-1:11180AB64E37807FF70219D35A3F5D0CBAC85EEFBB4A44C69BEBAF6028DA4371","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502140","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502140","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502140.xml","SHA256-XML-1:ADD14B812DE33F86657B9C8CCB8CC37B46FDB2A48FC8EB5AE02349126A75F378","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502140","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502140","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502140.xml","SHA256-XML-1:626D229B340AA7646D0419F02DA87594CB2F5A4AFC2BA49DAABB50A3C8D16A91","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502220","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502220","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502220.xml","SHA256-XML-1:628173D3596C0CB937B58FDA3E6FD18066743C2814ABA6FAE9D927AF79A2F6D0","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502220","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502220","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502220.xml","SHA256-XML-1:69658D333EBA835BC11CC00D65F13CE209399EE08A0FCF8265D08C3BA1AA8E90","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502230","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502230","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502230.xml","SHA256-XML-1:C5CC930C01445514B2EADC279E72EECC5AF72255A989621626A80FB49190874C","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502230","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502230","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502230.xml","SHA256-XML-1:941ADBB36451E5ADBCB4FE291849B2414BD850071CEEA838D347A458A3BA6DBF","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502240","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502240","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502240.xml","SHA256-XML-1:18027213280C10EBA04A96AF224D79F18F2D6BB1B8217ED0C10B95FB1D352DEF","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502240","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502240","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502240.xml","SHA256-XML-1:361312D3A5F600D25E2FBB29241770CEE88B25BED8442695C7BF21195B404DDB","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502320","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502320","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502320.xml","SHA256-XML-1:ABDF76B1E69A8DFCE9D2E655B39676F498CA277EB5704EC9665E751A7B76EEC0","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502320","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502320","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502320.xml","SHA256-XML-1:3F48B3E2F3C1F03504436032E0B9165EF899F52048DF6C9C789CB3F79AD58691","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502330","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502330","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502330.xml","SHA256-XML-1:68F4799C2653B2B4806C0AED9F01DA9774C353D98F269966FF856C0BD65B5AB0","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502330","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502330","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502330.xml","SHA256-XML-1:89E50CC4167E5894F6916C2244A76D2A587803FF23B236665F67E490FA3CB83E","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502340","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502340","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502340.xml","SHA256-XML-1:3187FB043711980ED4C7EDD622F7A2011E2F3D0B1741104C2DEC27CE97366B37","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502340","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502340","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502340.xml","SHA256-XML-1:C8DAD74C9A9E3FD16BDEE23D8F84D9B6A795E289695C6C6123125CD49020CDA4","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502420","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502420","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502420.xml","SHA256-XML-1:5AE4EC5F86F63B3A6D9CD8833520013978B250A6EB8E216DB2E63742948B4F22","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502420","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502420","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502420.xml","SHA256-XML-1:BB941AF9833B1CA5FF4B239E786D87B3E63A3B50399CF1B1F1FBF799DDFC9777","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502430","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502430","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502430.xml","SHA256-XML-1:F4DEC2F12579BB3590DB2299536CAE75221F7EE92FBD5139C79CDE50FC06ED91","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502430","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502430","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502430.xml","SHA256-XML-1:43CBCD922482571EA4DBF6A8E0F97BD95AACE1D0D6EAAD3AA40C9A416B4E77E4","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502440","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502440","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502440.xml","SHA256-XML-1:CDA422AC3B220354D23BA9BA9481B26CA9EAD214131CE3BCDF5D95829F77E9E2","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502440","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502440","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502440.xml","SHA256-XML-1:2E9504ECA1553AB0DB8ACD1FEDA2AA9E653B1F5F5CFEB0D6EEE6E6FA333C93DC","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502520","C","STADTLER2003::C::LSDM_STADTLER2003_MLCLSP_16_erratic_G502520","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\C\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502520.xml","SHA256-XML-1:BE7BC3B24A2BCB92FD69C39ECC2C2C77F030F56F5FB0DB4FCB8EF0DBBB14E042","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
"STADTLER2003","LSDM_STADTLER2003_MLCLSP_16_erratic_G502520","E","STADTLER2003::E::LSDM_STADTLER2003_MLCLSP_16_erratic_G502520","D:\Dev\LotSizingDataModel.Benchmarks\benchmarks\STADTLER2003\E\instances\LSDM_STADTLER2003_MLCLSP_16_erratic_G502520.xml","SHA256-XML-1:421FE84B0FB5082F5B73065DAA8729992AE3584270441294ADFEB38ACA53513E","HISTORICAL_ID_REUSED_ACROSS_SUBFAMILIES"
